organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,ERR3220220,PRJEB31266,10,other,18128,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Bos taurus,1,ERR2019380,PRJEB21508,11,other,22609,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3211452,PRJEB31266,13,other,25256,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR13741614,PRJNA600179,13,other,10715,"[""Mus musculus""]",
sheep gut metagenome,1,SRR17274356,PRJNA783381,10,other,10452,"[""sheep113""]",
bovine gut metagenome,1,SRR5371505,PRJNA356291,16,other,56999,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371445,PRJNA356291,16,other,34367,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048392,PRJEB52849,14,other,123691,,
bovine gut metagenome,1,SRR3181162,PRJNA309291,10,other,11968,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371391,PRJNA356291,15,other,20590,"[""Bos taurus""]",
Bos taurus,1,ERR2019402,PRJEB21508,10,other,18587,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3201378,PRJEB31266,10,other,20836,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR13434000,PRJNA691977,12,other,26847,"[""Bos taurus""]",
Bos taurus,1,ERR2019408,PRJEB21508,8,other,13024,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR12681651,PRJNA654316,15,other,31167,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801482,PRJEB33080,9,other,12606,,
Equus asinus,1,SRR28806302,PRJNA1103961,11,other,12969,,
Equus asinus,1,SRR20707903,PRJNA860652,12,other,13467,,
Equus asinus asinus,1,ERR10048369,PRJEB52849,13,other,128481,,
bovine gut metagenome,1,ERR3220186,PRJEB31266,10,other,23214,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR17274338,PRJNA783381,8,other,11531,"[""sheep130""]",
bovine gut metagenome,1,SRR18394697,PRJNA815894,13,other,22631,"[""buffalo""]",
bovine gut metagenome,1,ERR3224612,PRJEB31266,10,other,27146,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR2329984,PRJNA293646,8,other,5032,"[""cattle""]",
bovine gut metagenome,1,SRR18394695,PRJNA815894,13,other,22770,"[""buffalo""]",
bovine gut metagenome,1,SRR13433991,PRJNA691977,15,other,33401,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048404,PRJEB52849,16,other,131060,,
Bos taurus,1,SRR24891243,PRJNA981443,9,other,12680,,
bovine gut metagenome,1,SRR5371417,PRJNA356291,15,other,15241,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12398548,PRJNA655594,16,other,60461,"[""C57BL/6J""]",
bovine gut metagenome,1,ERR3220224,PRJEB31266,9,other,18524,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224611,PRJEB31266,9,other,38982,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
